time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B
-0.0001,0,-0.0001,0.0139999,-8.00E-07,0.0179999,-8.00E-07,-0.00800014,-8.00E-07,0.00799986,-8.00E-07,0.111999,-8.00E-07,-0.0240006
-1.00E-04,-0.02,-1.00E-04,0.00399986,-8.00E-07,0.00999986,-8.00E-07,-0.0220001,-8.00E-07,-0.00400014,-8.00E-07,0.0239994,-8.00E-07,0.0879994
-1.00E-04,-0.01,-1.00E-04,0.00399986,-7.99E-07,-1.42E-07,-7.99E-07,-0.0120001,-7.99E-07,-0.00600014,-7.99E-07,0.0639994,-7.99E-07,0.0399994
-1.00E-04,0.04,-1.00E-04,-0.00200014,-7.99E-07,0.0139999,-7.99E-07,-0.00400014,-7.99E-07,-0.00600014,-7.99E-07,0.0559994,-7.99E-07,-5.70E-07
-1.00E-04,0.01,-1.00E-04,0.00599986,-7.98E-07,0.00599986,-7.98E-07,-0.00200014,-7.98E-07,-0.00200014,-7.98E-07,0.0639994,-7.98E-07,0.0319994
-1.00E-04,0.03,-1.00E-04,-1.42E-07,-7.98E-07,0.00399986,-7.98E-07,-0.0100001,-7.98E-07,-0.0100001,-7.98E-07,0.0239994,-7.98E-07,0.0559994
-1.00E-04,0,-1.00E-04,0.00399986,-7.98E-07,-1.42E-07,-7.98E-07,-0.0100001,-7.98E-07,-1.42E-07,-7.98E-07,0.0319994,-7.98E-07,0.0319994
-1.00E-04,0,-1.00E-04,-0.00400014,-7.97E-07,0.0199999,-7.97E-07,-0.0220001,-7.97E-07,-0.00400014,-7.97E-07,0.0639994,-7.97E-07,0.00799943
-1.00E-04,-0.01,-1.00E-04,0.00799986,-7.97E-07,0.00999986,-7.97E-07,-0.00600014,-7.97E-07,0.00999986,-7.97E-07,0.0159994,-7.97E-07,0.0399994
-1.00E-04,-0.01,-1.00E-04,-0.00800014,-7.96E-07,0.0199999,-7.96E-07,-0.0140001,-7.96E-07,0.00399986,-7.96E-07,0.0719994,-7.96E-07,0.0639994
-1.00E-04,0.02,-1.00E-04,0.00399986,-7.96E-07,0.0199999,-7.96E-07,-0.0160001,-7.96E-07,-0.00400014,-7.96E-07,0.0799994,-7.96E-07,0.127999
-1.00E-04,-0.02,-1.00E-04,-0.00600014,-7.96E-07,0.00599986,-7.96E-07,-0.0160001,-7.96E-07,0.00199986,-7.96E-07,0.0479994,-7.96E-07,0.0239994
-1.00E-04,-0.01,-1.00E-04,0.00999986,-7.95E-07,0.00799986,-7.95E-07,-1.42E-07,-7.95E-07,0.00799986,-7.95E-07,0.0959994,-7.95E-07,0.0239994
-1.00E-04,0.01,-1.00E-04,-1.42E-07,-7.95E-07,-0.00400014,-7.95E-07,-0.0100001,-7.95E-07,0.00599986,-7.95E-07,0.0399994,-7.95E-07,0.0479994
-1.00E-04,0.04,-1.00E-04,0.00599986,-7.94E-07,0.00599986,-7.94E-07,-0.00200014,-7.94E-07,0.00399986,-7.94E-07,0.119999,-7.94E-07,-0.00800057
-1.00E-04,0,-1.00E-04,-0.00400014,-7.94E-07,0.0219999,-7.94E-07,-0.0180001,-7.94E-07,-0.00600014,-7.94E-07,0.0479994,-7.94E-07,0.0559994
-1.00E-04,0.03,-1.00E-04,0.0139999,-7.94E-07,0.00999986,-7.94E-07,-0.0120001,-7.94E-07,-0.0100001,-7.94E-07,0.0479994,-7.94E-07,-5.70E-07
-1.00E-04,0.03,-1.00E-04,-0.00200014,-7.93E-07,0.0119999,-7.93E-07,-0.0140001,-7.93E-07,-0.00200014,-7.93E-07,-5.70E-07,-7.93E-07,-0.0640006
